Custom Heading: ,,,,,,,,,,,,,,,,
Formatting Options: Sort Options -  Invoice Date ,,,,,,,,,,,,,,,,
Date Selection: 02/01/2019 to 03/10/2020,,,,,,,,,,,,,,,,
Customer Selection: 467367 ESTATES PHY & SURG SUPPL,,,,,,,,,,,,,,,,
Supplier Selection: ALL,,,,,,,,,,,,,,,,
Item Selection: ALL,,,,,,,,,,,,,,,,
Advanced Options: NA,,,,,,,,,,,,,,,,
Cust#,Customer Name,McK Item#,NDC/UPC,Item Description,Generic Description,OrigInvc,Invc/Cred#,Invc/CrDate,C,Ord Qty,Fill,Return,Net,UOM,Unit Price,Ext.Price
467367,ESTATES PHY & SURG SUPPL,2166460,32390001452,NYQUIL/DAYQUIL LIQCAP COMBO 48,,7188050196,7188050196,03/10/2020,N,8,8,0,8,EA,12.90,103.20
467367,ESTATES PHY & SURG SUPPL,2219608,36740582508,BENZOYL PERX WASH 5% HARR 8OZ@,benzoyl peroxide,7188050198,7188050198,03/10/2020,Y,2,2,0,2,EA,11.24,22.48
467367,ESTATES PHY & SURG SUPPL,2404671,08290320122,PEN NDL NANO BD 32G 4MM  CT100,"pen needle, diabetic",7188056901,7188056901,03/10/2020,N,8,8,0,8,CT,45.69,365.52
467367,ESTATES PHY & SURG SUPPL,3281482,68682011320,MESALAMINE ER CP0.375GMBAU120@,mesalamine,7188050197,7188050197,03/10/2020,Y,1,1,0,1,EA,272.14,272.14
467367,ESTATES PHY & SURG SUPPL,3406485,60432060816,PROMETH SYRP 6.25MG MOR  16OZ@,promethazine HCl,7188050194,7188050194,03/10/2020,Y,6,6,0,6,EA,5.86,35.16
467367,ESTATES PHY & SURG SUPPL,3418746,00378235193,ESOMEPRAZ MAG 40MG MYL 30@,esomeprazole magnesium,7188050194,7188050194,03/10/2020,Y,1,1,0,1,EA,25.31,25.31
467367,ESTATES PHY & SURG SUPPL,3567286,30904676620,MAPAP SUSP CHERRY   MMP  4OZ@,acetaminophen,7188050195,7188050195,03/10/2020,Y,48,0,0,0,EA,0.00,0.00
467367,ESTATES PHY & SURG SUPPL,3731825,02351361821,PINWORM MEDICINE  R/C    2OZ,pyrantel pamoate,7188056900,7188056900,03/10/2020,N,6,6,0,6,EA,11.22,67.32
467367,ESTATES PHY & SURG SUPPL,3984184,30904675514,FAST ACT MI-ACID LIQ MMP 12OZ@,mag hydrox/aluminum hyd/simeth,7188050195,7188050195,03/10/2020,Y,48,48,0,48,EA,1.98,95.04
467367,ESTATES PHY & SURG SUPPL,1130244,43386005019,GAVILYTE-N SOL    LUP 4000ML@,sodium chloride/NaHCO3/KCl/peg,7187816891,7187816891,03/09/2020,Y,6,5,0,5,EA,13.77,68.85
467367,ESTATES PHY & SURG SUPPL,1195924,00168000615,TRIAMCIN OINT 0.1%  FOUG 15GM,triamcinolone acetonide,7187816897,7187816897,03/09/2020,Y,6,6,0,6,EA,1.97,11.82
467367,ESTATES PHY & SURG SUPPL,1340256,61480120050,GERATHERM M-FR REC THERM 20050,,7187816895,7187816895,03/09/2020,N,3,3,0,3,EA,4.68,14.04
467367,ESTATES PHY & SURG SUPPL,1364355,65162069179,ONDANS O/S 4MG/5ML  AMN  50ML@,ondansetron HCl,7187816888,7187816888,03/09/2020,Y,1,1,0,1,EA,32.26,32.26
467367,ESTATES PHY & SURG SUPPL,1865526,66685100100,AMOXICIL CLV 875/125 SAN   20@,amoxicillin/potassium clav,7187816891,7187816891,03/09/2020,Y,24,24,0,24,EA,4.82,115.68
467367,ESTATES PHY & SURG SUPPL,1906809,65862020901,MINOCYC HYD CAP 50MG AURO 100@,minocycline HCl,7187819600,7187819600,03/09/2020,Y,2,2,0,2,EA,14.54,29.08
467367,ESTATES PHY & SURG SUPPL,2004315,66993089749,AUGMENTED BETA OI0.05%PRAS50G@,betamethasone/propylene glyc,7187816888,7187816888,03/09/2020,Y,2,2,0,2,EA,38.88,77.76
467367,ESTATES PHY & SURG SUPPL,2025161,00378306577,FENOFIBRATE TAB 48MG MYL  90@,fenofibrate nanocrystallized,7187819600,7187819600,03/09/2020,Y,2,2,0,2,EA,6.39,12.78
467367,ESTATES PHY & SURG SUPPL,2025161,00378306577,FENOFIBRATE TAB 48MG MYL  90@,fenofibrate nanocrystallized,7187819603,7187819603,03/09/2020,Y,3,3,0,3,EA,6.39,19.17
467367,ESTATES PHY & SURG SUPPL,2244044,16714035502,LEVETIRAC TAB 500MG 500NSTAR@,levetiracetam,7187819603,7187819603,03/09/2020,Y,1,1,0,1,EA,35.68,35.68
467367,ESTATES PHY & SURG SUPPL,2404671,08290320122,PEN NDL NANO BD 32G 4MM  CT100,"pen needle, diabetic",7187819602,7187819602,03/09/2020,N,4,4,0,4,CT,45.69,182.76
467367,ESTATES PHY & SURG SUPPL,2533594,30904598463,AMMON LACT LOT 12% MMP  396GM@,ammonium lactate,7187816896,7187816896,03/09/2020,Y,4,4,0,4,EA,6.36,25.44
467367,ESTATES PHY & SURG SUPPL,2535003,51672412401,CARBAMAZ ER TB 200MG TAR  100@,carbamazepine,7187816891,7187816891,03/09/2020,Y,2,2,0,2,EA,80.45,160.90
467367,ESTATES PHY & SURG SUPPL,3250263,00093031805,DILTIAZEM TAB 30MG  TEV   500@,diltiazem HCl,7187816899,7187816899,03/09/2020,Y,1,1,0,1,EA,29.52,29.52
467367,ESTATES PHY & SURG SUPPL,3536042,51672412301,CARBAMAZE ER TB100MG TARO100@,carbamazepine,7187816891,7187816891,03/09/2020,Y,2,2,0,2,EA,37.58,75.16
467367,ESTATES PHY & SURG SUPPL,3544343,08517384036,SWY 32G 4MM UF PENTIPS 100,"pen needle, diabetic",7187819600,7187819600,03/09/2020,N,2,2,0,2,EA,12.13,24.26
467367,ESTATES PHY & SURG SUPPL,3567286,30904676620,MAPAP SUSP CHERRY   MMP  4OZ@,acetaminophen,7187816894,7187816894,03/09/2020,Y,48,48,0,48,EA,1.82,87.36
467367,ESTATES PHY & SURG SUPPL,3574605,29300022705,METRONIDAZ TAB 500MG UNI 500@,metronidazole,7187819600,7187819600,03/09/2020,Y,1,1,0,1,EA,28.18,28.18
467367,ESTATES PHY & SURG SUPPL,3594868,70069000801,EPINASTINE HCI OPH .05%SOM5ML@,epinastine HCl,7187819603,7187819603,03/09/2020,Y,1,1,0,1,EA,13.55,13.55
467367,ESTATES PHY & SURG SUPPL,3685674,69238153106,LARISSIA TAB 0.1/.02MG AMN 28@,levonorgestrel/ethin.estradiol,7187816891,7187816891,03/09/2020,Y,3,3,0,3,EA,2.04,6.12
467367,ESTATES PHY & SURG SUPPL,3773124,16714089701,PERMETHRIN CRM 5% NSTR 60G@,permethrin,7187816891,7187816891,03/09/2020,Y,6,6,0,6,EA,16.82,100.92
467367,ESTATES PHY & SURG SUPPL,3925849,36978418010,POLYETH GLY PWD  WOOD3350 100@,polyethylene glycol 3350,7187816884,7187816884,03/09/2020,Y,32,32,0,32,CT,94.17,"3,013.44"
467367,ESTATES PHY & SURG SUPPL,3925849,36978418010,POLYETH GLY PWD  WOOD3350 100@,polyethylene glycol 3350,7187816887,7187816887,03/09/2020,Y,6,6,0,6,CT,94.17,565.02
467367,ESTATES PHY & SURG SUPPL,3925849,36978418010,POLYETH GLY PWD  WOOD3350 100@,polyethylene glycol 3350,7187816894,7187816894,03/09/2020,Y,8,0,0,0,CT,0.00,0.00
467367,ESTATES PHY & SURG SUPPL,1230408,68462029947,ALCLOMETAS OIN 0.05% GLEN45GM@,alclometasone dipropionate,7187513742,7187513742,03/06/2020,Y,1,1,0,1,EA,40.07,40.07
467367,ESTATES PHY & SURG SUPPL,1860352,30904323352,CALC CARB+D TB 6C/400IU MMP60@,calcium carbonate/vitamin D3,7187513746,7187513746,03/06/2020,Y,48,48,0,48,EA,1.19,57.12
467367,ESTATES PHY & SURG SUPPL,1904937,16714008211,HYDROXYZ TAB 25MG   500 NSTAR@,hydroxyzine HCl,7187513742,7187513742,03/06/2020,Y,6,6,0,6,EA,15.41,92.46
467367,ESTATES PHY & SURG SUPPL,1963404,00054472831,PREDNISON TAB  5MG   HIK 1000@,prednisone,7187513742,7187513742,03/06/2020,Y,1,1,0,1,EA,31.75,31.75
467367,ESTATES PHY & SURG SUPPL,2012656,00781708035,METRONIDAZ GEL TU 1% SAN60GM@,metronidazole,7187513742,7187513742,03/06/2020,Y,1,1,0,1,EA,55.11,55.11
467367,ESTATES PHY & SURG SUPPL,2239382,30904546052,OYST CAL+D TB 500MG MMP    60@,calcium carbonate/vitamin D3,7187513746,7187513746,03/06/2020,Y,48,48,0,48,EA,1.13,54.24
467367,ESTATES PHY & SURG SUPPL,2702652,61314014315,BRIMONID OPH SOL 0.2% FAL15ML,brimonidine tartrate,7187513739,7187513739,03/06/2020,Y,3,2,0,2,EA,3.21,6.42
467367,ESTATES PHY & SURG SUPPL,3660982,16714073301,CELECOXIB CAP 200MG 100 NSTR@,celecoxib,7187513742,7187513742,03/06/2020,Y,6,6,0,6,EA,7.45,44.70
467367,ESTATES PHY & SURG SUPPL,3709334,52565003330,ERYTHROMY T/GEL 2% TELI 30GM@,erythromycin base in ethanol,7187513742,7187513742,03/06/2020,Y,2,2,0,2,EA,29.99,59.98
467367,ESTATES PHY & SURG SUPPL,1471580,35167220102,HYDROCORT CRM.5% W/ALOE TAR1Z@,hydrocortisone,7187245334,7187245334,03/05/2020,Y,10,10,0,10,EA,1.88,18.80
467367,ESTATES PHY & SURG SUPPL,1494194,61314012605,KETOR OPHT SOL 0.5% FAL   5ML@,ketorolac tromethamine,7187245335,7187245335,03/05/2020,Y,10,10,0,10,EA,4.64,46.40
467367,ESTATES PHY & SURG SUPPL,1700608,69907370822,FREESTYLE LITE TEST STRIPS  50,blood sugar diagnostic,7187245334,7187245334,03/05/2020,N,48,48,0,48,EA,74.39,"3,570.72"
467367,ESTATES PHY & SURG SUPPL,1819093,30193737701,CONTOUR NEXT METER       37701,blood-glucose meter,7187245334,7187245334,03/05/2020,N,12,12,0,12,EA,16.15,193.80
467367,ESTATES PHY & SURG SUPPL,2008787,13668010410,ISOSOR MON ER TB30MG TORR1K@,isosorbide mononitrate,7187245333,7187245333,03/05/2020,Y,1,1,0,1,EA,47.10,47.10
467367,ESTATES PHY & SURG SUPPL,3451200,29300024210,AMLODIPINE BESYL TB5MGUNI1000@,amlodipine besylate,7187245335,7187245335,03/05/2020,Y,6,6,0,6,EA,7.58,45.48
467367,ESTATES PHY & SURG SUPPL,3532652,69918030130,TRANEXAM ACID TAB 650MG AMR30@,tranexamic acid,7187245333,7187245333,03/05/2020,Y,1,1,0,1,EA,36.04,36.04
467367,ESTATES PHY & SURG SUPPL,3732948,11534016503,FOLIC ACID TB 1MG   SUNR 1000@,folic acid,7187245335,7187245335,03/05/2020,Y,6,6,0,6,EA,11.12,66.72
467367,ESTATES PHY & SURG SUPPL,3785342,16714076301,CALCIPOTRIENE CRM 60GM NSTR@,calcipotriene,7187210409,7187210409,03/05/2020,Y,1,1,0,1,EA,53.85,53.85
467367,ESTATES PHY & SURG SUPPL,1257104,01093926544,SM ALCOHOL PREP STRL PADS  100,alcohol antiseptic pads,7186993080,7186993080,03/04/2020,N,48,48,0,48,EA,1.32,63.36
467367,ESTATES PHY & SURG SUPPL,1423789,50383079516,LACTULOSE SOL       HI-T 16OZ@,lactulose,7186993083,7186993083,03/04/2020,Y,8,8,0,8,EA,7.28,58.24
467367,ESTATES PHY & SURG SUPPL,1489079,30193731150,CONTOUR NEXT TEST STRIPS 50,blood sugar diagnostic,7186993080,7186993080,03/04/2020,N,48,48,0,48,EA,56.99,"2,735.52"
467367,ESTATES PHY & SURG SUPPL,2080679,16714085302,METOPROL SUCC ER 50MG 500NSTR@,metoprolol succinate,7186957269,7186957269,03/04/2020,Y,6,6,0,6,EA,34.11,204.66
467367,ESTATES PHY & SURG SUPPL,2123107,00168005760,BETAMET DIP LO 0.05%FOUG 60ML@,betamethasone dipropionate,7186993081,7186993081,03/04/2020,Y,2,2,0,2,EA,18.77,37.54
467367,ESTATES PHY & SURG SUPPL,2134898,00168005546,BETAMET DIP CR 0.05%SAN 45GM@,betamethasone dipropionate,7186993086,7186993086,03/04/2020,Y,3,3,0,3,EA,25.32,75.96
467367,ESTATES PHY & SURG SUPPL,2464444,00781163501,ISOSOR OR TB 5MG    SAN   100@,isosorbide dinitrate,7186993083,7186993083,03/04/2020,Y,6,6,0,6,EA,12.67,76.02
467367,ESTATES PHY & SURG SUPPL,2464451,00781155601,ISOSOR OR TB 10MG   SAN   100@,isosorbide dinitrate,7186957271,7186957271,03/04/2020,Y,10,10,0,10,EA,21.02,210.20
467367,ESTATES PHY & SURG SUPPL,2574481,01093968444,SM EYE ITCH ALLER       0.17OZ,ketotifen fumarate,7186957270,7186957270,03/04/2020,N,48,48,0,48,EA,5.76,276.48
467367,ESTATES PHY & SURG SUPPL,3523941,65862058601,AMLOD+BENAZ 10/20MG AURO 100@,amlodipine besylate/benazepril,7186993084,7186993084,03/04/2020,Y,2,2,0,2,EA,7.42,14.84
467367,ESTATES PHY & SURG SUPPL,3523941,65862058601,AMLOD+BENAZ 10/20MG AURO 100@,amlodipine besylate/benazepril,7186993087,7186993087,03/04/2020,Y,4,4,0,4,EA,7.42,29.68
467367,ESTATES PHY & SURG SUPPL,3672375,68462042121,ATOVAQUO OS 750MG/5MLGLE210ML,atovaquone,7186993083,7186993083,03/04/2020,Y,1,1,0,1,EA,387.32,387.32
467367,ESTATES PHY & SURG SUPPL,3996055,51672138903,AZELAIC ACID GEL15% 50GMTARO1@,azelaic acid,7186993079,7186993079,03/04/2020,Y,1,1,0,1,EA,55.50,55.50
467367,ESTATES PHY & SURG SUPPL,1248574,60258015001,SOD FLUO 5000 PLUS CYPR 1.8OZ@,fluoride (sodium),7186794722,7186794722,03/03/2020,Y,6,6,0,6,EA,3.30,19.80
467367,ESTATES PHY & SURG SUPPL,1288331,71591205413,GLOVE VITR EX PF LGE CAREM  50,,7186794716,7186794716,03/03/2020,N,13,8,0,8,CT,4.27,34.16
467367,ESTATES PHY & SURG SUPPL,1330927,45802096126,CLOBETAS PR SHM 0.05% PERR4OZ@,clobetasol propionate,7186794719,7186794719,03/03/2020,Y,2,2,0,2,EA,68.26,136.52
467367,ESTATES PHY & SURG SUPPL,1423789,50383079516,LACTULOSE SOL       HI-T 16OZ@,lactulose,7186794715,7186794715,03/03/2020,Y,6,6,0,6,EA,7.28,43.68
467367,ESTATES PHY & SURG SUPPL,1423789,50383079516,LACTULOSE SOL       HI-T 16OZ@,lactulose,7186794719,7186794719,03/03/2020,Y,6,6,0,6,EA,7.28,43.68
467367,ESTATES PHY & SURG SUPPL,1469568,60432060416,PROMETH+DEX SYRP    MOR  16OZ@,promethazine/dextromethorphan,7186794715,7186794715,03/03/2020,Y,8,8,0,8,EA,25.17,201.36
467367,ESTATES PHY & SURG SUPPL,1619881,07007460750,ENSURE PWD VAN INST  14OZ,lactose-reduced food,7186794721,7186794721,03/03/2020,N,5,5,0,5,EA,8.05,40.25
467367,ESTATES PHY & SURG SUPPL,1700608,69907370822,FREESTYLE LITE TEST STRIPS  50,blood sugar diagnostic,7186794716,7186794716,03/03/2020,N,48,48,0,48,EA,74.39,"3,570.72"
467367,ESTATES PHY & SURG SUPPL,1838648,00093873901,MEXILET CAP 150MG   TEV   100@,mexiletine HCl,7186794717,7186794717,03/03/2020,Y,2,2,0,2,EA,56.00,112.00
467367,ESTATES PHY & SURG SUPPL,1865450,66685100200,AMOXICIL CLV 5C/125MG SAN  20@,amoxicillin/potassium clav,7186794720,7186794720,03/03/2020,Y,6,6,0,6,EA,4.89,29.34
467367,ESTATES PHY & SURG SUPPL,1865526,66685100100,AMOXICIL CLV 875/125 SAN   20@,amoxicillin/potassium clav,7186794715,7186794715,03/03/2020,Y,12,12,0,12,EA,4.82,57.84
467367,ESTATES PHY & SURG SUPPL,2002434,35388500972,ONE TOUCH ULTRA TEST STRIP  50,blood sugar diagnostic,7186794716,7186794716,03/03/2020,N,48,48,0,48,EA,64.30,"3,086.40"
467367,ESTATES PHY & SURG SUPPL,2155539,00781518592,LEVOTHYROX TB 112MCG SAN   90@,levothyroxine sodium,7186794715,7186794715,03/03/2020,Y,4,4,0,4,EA,17.59,70.36
467367,ESTATES PHY & SURG SUPPL,2535193,57599000101,FREESTYLE LIBRE SENSOR 14D,flash glucose sensor,7186794719,7186794719,03/03/2020,N,2,2,0,2,EA,52.80,105.60
467367,ESTATES PHY & SURG SUPPL,2535201,57599000200,FREESTYLE LIBRE READER KIT 14D,flash glucose scanning reader,7186794719,7186794719,03/03/2020,N,2,2,0,2,EA,67.90,135.80
467367,ESTATES PHY & SURG SUPPL,3305182,01093972044,SM TRUE METRIX TEST STRIPS  50,blood sugar diagnostic,7186794716,7186794716,03/03/2020,N,48,48,0,48,EA,27.50,"1,320.00"
467367,ESTATES PHY & SURG SUPPL,3412350,65162059020,CALC ACETATE CP 667MG AMN 200,calcium acetate,7186794719,7186794719,03/03/2020,N,6,6,0,6,EA,108.94,653.64
467367,ESTATES PHY & SURG SUPPL,3475910,01093974344,SM ALCOHOL ETHYL 70% 16OZ CS12,,7186820558,7186820558,03/03/2020,N,12,7,0,7,CS,22.86,160.02
467367,ESTATES PHY & SURG SUPPL,3556156,62332008090,VALS+HCTZ TB 160/12.5MGALEM90@,valsartan/hydrochlorothiazide,7186794714,7186794714,03/03/2020,Y,8,8,0,8,EA,16.16,129.28
467367,ESTATES PHY & SURG SUPPL,3556248,62332008290,VALS+HCTZ TB 320/12.5MGALEM90@,valsartan/hydrochlorothiazide,7186794715,7186794715,03/03/2020,Y,4,4,0,4,EA,27.33,109.32
467367,ESTATES PHY & SURG SUPPL,3572138,00093735301,CALCITR CAP 0.5MCG  TEV   100@,calcitriol,7186794715,7186794715,03/03/2020,Y,3,3,0,3,EA,15.35,46.05
467367,ESTATES PHY & SURG SUPPL,3622040,62332006130,LEFLUNOMIDE TAB 10MG ALE 30 @,leflunomide,7186794718,7186794718,03/03/2020,Y,2,2,0,2,EA,14.28,28.56
467367,ESTATES PHY & SURG SUPPL,3936184,16714095503,KETOCONAZOLE CRM 2% NSTR 60G@,ketoconazole,7186794715,7186794715,03/03/2020,Y,10,10,0,10,EA,19.42,194.20
467367,ESTATES PHY & SURG SUPPL,1209808,01093958044,SM MILK OF MAG ORIG       12OZ,magnesium hydroxide,7186451100,7186451100,03/02/2020,N,8,8,0,8,EA,1.85,14.80
467367,ESTATES PHY & SURG SUPPL,1414275,30904572514,MINTOX LIQ X/STR    MMP  12OZ@,mag hydrox/aluminum hyd/simeth,7186451100,7186451100,03/02/2020,Y,48,48,0,48,EA,2.33,111.84
467367,ESTATES PHY & SURG SUPPL,1439421,35483855840,LORATADINE O/S ALL CHL SILA4Z@,loratadine,7186451100,7186451100,03/02/2020,Y,48,48,0,48,EA,3.46,166.08
467367,ESTATES PHY & SURG SUPPL,1628650,00093542088,CABERGOLIN TAB 0.5MG TEV    8@,cabergoline,7186451114,7186451114,03/02/2020,Y,1,1,0,1,EA,14.12,14.12
467367,ESTATES PHY & SURG SUPPL,1639459,08290328203,PEN NDL ORIG BD 29G 12.7MM 100,"pen needle, diabetic",7186451113,7186451113,03/02/2020,Y,6,6,0,6,CT,44.40,266.40
467367,ESTATES PHY & SURG SUPPL,1700137,69907370805,FREESTYLE LITE GLUCOSE MONITOR,blood-glucose meter,7186451104,7186451104,03/02/2020,N,12,12,0,12,EA,15.75,189.00
467367,ESTATES PHY & SURG SUPPL,1767243,30023548730,REFRESH PLUS                30,carboxymethylcellulose sodium,7186451112,7186451112,03/02/2020,N,4,4,0,4,EA,8.46,33.84
467367,ESTATES PHY & SURG SUPPL,1839851,30904582460,VIT D TB 1000IU(25MCG) MMP100@,cholecalciferol (vitamin D3),7186451117,7186451117,03/02/2020,Y,12,12,0,12,EA,1.46,17.52
467367,ESTATES PHY & SURG SUPPL,1860352,30904323352,CALC CARB+D TB 6C/400IU MMP60@,calcium carbonate/vitamin D3,7186451100,7186451100,03/02/2020,Y,48,48,0,48,EA,1.19,57.12
467367,ESTATES PHY & SURG SUPPL,1864057,00143211250,DOXYCYC HYC TB 100MG WEST  50@,doxycycline hyclate,7186451108,7186451108,03/02/2020,Y,1,1,0,1,EA,11.11,11.11
467367,ESTATES PHY & SURG SUPPL,2002434,35388500972,ONE TOUCH ULTRA TEST STRIP  50,blood sugar diagnostic,7186451102,7186451102,03/02/2020,N,48,48,0,48,EA,64.30,"3,086.40"
467367,ESTATES PHY & SURG SUPPL,2004315,66993089749,AUGMENTED BETA OI0.05%PRAS50G@,betamethasone/propylene glyc,7186451103,7186451103,03/02/2020,Y,2,2,0,2,EA,38.88,77.76
467367,ESTATES PHY & SURG SUPPL,2005551,60505014201,GLIPIZIDE TAB 10MG APX   1000@,glipizide,7186451103,7186451103,03/02/2020,Y,4,4,0,4,EA,37.28,149.12
467367,ESTATES PHY & SURG SUPPL,2005551,60505014201,GLIPIZIDE TAB 10MG APX   1000@,glipizide,7186451108,7186451108,03/02/2020,Y,2,2,0,2,EA,37.28,74.56
467367,ESTATES PHY & SURG SUPPL,2134880,00168005515,BETAMET DIP CR 0.05%SAN 15GM@,betamethasone dipropionate,7186451109,7186451109,03/02/2020,Y,2,2,0,2,EA,13.59,27.18
467367,ESTATES PHY & SURG SUPPL,2183044,36740583506,BENZOYL PERX CLNS 6% HARR 6OZ@,benzoyl peroxide,7186451110,7186451110,03/02/2020,Y,2,2,0,2,EA,10.74,21.48
467367,ESTATES PHY & SURG SUPPL,2208502,00378699152,ALBUTEROL INH 0.63MGMYL3MLX25@,albuterol sulfate,7186451101,7186451101,03/02/2020,Y,6,6,0,6,CT,21.54,129.24
467367,ESTATES PHY & SURG SUPPL,2239382,30904546052,OYST CAL+D TB 500MG MMP    60@,calcium carbonate/vitamin D3,7186451100,7186451100,03/02/2020,Y,48,48,0,48,EA,1.13,54.24
467367,ESTATES PHY & SURG SUPPL,2289890,60432053716,NYSTATIN O/S 100MU  MOR  16OZ@,nystatin,7186451101,7186451101,03/02/2020,Y,4,4,0,4,EA,20.38,81.52
467367,ESTATES PHY & SURG SUPPL,2289890,60432053716,NYSTATIN O/S 100MU  MOR  16OZ@,nystatin,7186451111,7186451111,03/02/2020,Y,4,4,0,4,EA,20.38,81.52
467367,ESTATES PHY & SURG SUPPL,3406485,60432060816,PROMETH SYRP 6.25MG MOR  16OZ@,promethazine HCl,7186451105,7186451105,03/02/2020,Y,12,12,0,12,EA,5.86,70.32
467367,ESTATES PHY & SURG SUPPL,3412350,65162059020,CALC ACETATE CP 667MG AMN 200,calcium acetate,7186451119,7186451119,03/02/2020,N,1,1,0,1,EA,108.94,108.94
467367,ESTATES PHY & SURG SUPPL,3496957,65162032309,NIACIN ER TAB 1000MG AMN 90@,niacin,7186451109,7186451109,03/02/2020,Y,2,2,0,2,EA,34.28,68.56
467367,ESTATES PHY & SURG SUPPL,3511904,01093978844,SM CLEARLAX PLY GLYC PWD 8.3OZ,polyethylene glycol 3350,7186451100,7186451100,03/02/2020,N,6,6,0,6,EA,5.62,33.72
467367,ESTATES PHY & SURG SUPPL,3518917,30904646420,ROBAFEN LIQ DM COUGH MMP118ML@,guaifenesin/dextromethorphan,7186451106,7186451106,03/02/2020,Y,12,12,0,12,EA,1.10,13.20
467367,ESTATES PHY & SURG SUPPL,3518917,30904646420,ROBAFEN LIQ DM COUGH MMP118ML@,guaifenesin/dextromethorphan,7186451107,7186451107,03/02/2020,Y,48,48,0,48,EA,1.10,52.80
467367,ESTATES PHY & SURG SUPPL,3556156,62332008090,VALS+HCTZ TB 160/12.5MGALEM90@,valsartan/hydrochlorothiazide,7186451109,7186451109,03/02/2020,Y,2,2,0,2,EA,16.16,32.32
467367,ESTATES PHY & SURG SUPPL,3586765,30904676320,ROBAFEN SYRP BOXED  MMP    4OZ,guaifenesin,7186451100,7186451100,03/02/2020,Y,24,24,0,24,EA,0.89,21.36
467367,ESTATES PHY & SURG SUPPL,3790961,31013565201,CYANOCOBALA 1000MCG TAB MAR100,cyanocobalamin (vitamin B-12),7186451100,7186451100,03/02/2020,Y,48,48,0,48,EA,2.12,101.76
467367,ESTATES PHY & SURG SUPPL,3925849,36978418010,POLYETH GLY PWD  WOOD3350 100@,polyethylene glycol 3350,7186451110,7186451110,03/02/2020,Y,2,2,0,2,CT,94.17,188.34
467367,ESTATES PHY & SURG SUPPL,3938636,30904676414,MINTOX ANTACID LIQ MMP 12OZ@,mag hydrox/aluminum hyd/simeth,7186451100,7186451100,03/02/2020,Y,48,48,0,48,EA,1.85,88.80
467367,ESTATES PHY & SURG SUPPL,3943511,59651026830,GLIPIZIDE ER TAB 2.5MG AURO30@,glipizide,7186451108,7186451108,03/02/2020,Y,12,12,0,12,EA,6.40,76.80
